PY Sentence Range,Candidate Rank,Match Tier,Match Score,IDF Cosine,Shared Distinct Words,Shared Words,Dd Paragraph Preview,PY Paragraph Preview
s1236,5,low,0.0934,0.0412,3,"ahlawān, dāmān, weh",21.4: dādār wisp-tuwān paywāzēd ud ō Druz wānišn ō ahlawān šnāyišn ō ān ī weh [T60_26v] dāmān pānag ud frayādāg baxšēd,caby_ch24_st29: awēšān niwēyēnam ohrmazd ī rāyōmand ī xwarrahōmand ud amahraspandān ī huxwadāyān ī hudahāgān mihr ī frāygāwyōd ī rāmišn =iz xwārom xwaršēd ī amarg ī rāyōmand ī arwandasp kū =š asp nēk ast kē ēdōn gōwēd ay asp ī nēk bē dād ud wāy ī abarkār ud tarwēnīdārtom az anyān dāmān ēdōn t...
s2336-s2340,1,strong,0.1857,0.1762,3,"dastwar, dēn, pānagīh",21.5: čiyōn guft estēd kū andar harw zamānagīhā dēn dastwar ud rāyēnāg ī dām paydāgēnēd kē andar ān zamānag dām pānagīh ud yazdān kāmagīh abar rawāgīhēd ∵,caby_ch46_st7: tāštgōwišnīh frašn ī zardušt kē ō man ohrmazd ud manīgān hāwištān ī man pānag dād ka man ān druwand ahreman pad dārišn dārēd kēn kū =m kēn abāg dārēd ā =m pānagīh kē kunēd any az [tō] ātaxš ud wahman čē ašmāh rāy dānam kū =m pānagīh kunēd kē pad awēšān kunišn ahlāyīh parwaram...
s2756-s2761,5,medium,0.0928,0.0348,4,"bawēd, mēnōy, ruwān, tan",23.3: ud ruwān ī andar rāh-ēw ō ham mēnōy ī tan kē-š ham-sōhišn ud ham-mārišn ast abar wināh ī-š kerd ud kerbag ī-š kam kerd čašmgāh bawēd,caby_ch53_st6: frāzgōwišnīh ī zardušt frāzgōwišnīh zardušt ēdōn čiyōn pad ān harw dō tis ī gētī ud mēnōy āškārag mard ud zan pad wehīh ēdōn ǰeh ud mar pad wattarīh druz az ān bahr kū =š nīrmad az ōy kē =š hamēšag pāsbānīh pad frāydahišnīh kū =š xwēš tan ēdōn tuwān dāštan ka pad abārōnīh hanb...
s2332-s2335,3,low,0.0593,0.0524,2,"rasēd, āyēd",23.5: ham sidīgar šab andar bāmīy nigāhbed ganǰwar ī kerbag čiyōn hu-čihr kanīg-ēw bē ō padīrag āyēd abāg hambār ī xwēšīg kerbag [TD4_216] frēg čand a-tōxt wināh ud bazag bē ō āmār rasēd rāstīhā āmārīhēd ud pad mānd [D7_146] wināh puhl ud pādifrāh widārēd,caby_ch46_st6: frāzgōwišnīh zardušt passoxgōwišnīh ohrmazd kē ān ī mad ēstēd nē ō mard kē pad xwāyišn āyēd kū pad kār ud kirbag āyēd dahēd druz ī ān dām kū dāmīh ī druz kunēd ā =š āsamīhēd kū =š bīm wimāyīhēd u =š zanīhēd čē ān ī druwand kē ō druwandān pahlomīh ud ān ahlaw kē ō ahlawān franā...
s2332-s2335,1,low,0.0906,0.0905,2,"rasēd, āyēd",24.5: ud sidīgar šab andar bāmīy nigāhbed ī-š wināh pad čarādīg kerb ī samgen ud rēman ī āzārdār abāg hambār ī-š wināh ō padīrag āyēd [K35_125v] ud gandag wād ī abāxtarīgīhā bē ō padīrag āyēd [T60_29r] ud ast-wisistīhā pīmišnīhā ud a-kām-tazišnīhā bē ō āmār rasēd,caby_ch46_st6: frāzgōwišnīh zardušt passoxgōwišnīh ohrmazd kē ān ī mad ēstēd nē ō mard kē pad xwāyišn āyēd kū pad kār ud kirbag āyēd dahēd druz ī ān dām kū dāmīh ī druz kunēd ā =š āsamīhēd kū =š bīm wimāyīhēd u =š zanīhēd čē ān ī druwand kē ō druwandān pahlomīh ud ān ahlaw kē ō ahlawān franā...
s1501-s1504,1,medium,0.1338,0.1015,3,"abar, dēwān, šān",26.7: ud pādifrāh ī abar ruwān az ān māništ az dēwān widār mānāgīh ān anāgīh ō dōšox ī šān kamālag Ahrimen ī purr-marg,caby_ch30_st6: frāzgōwišnīh zardušt awēšān nē rāst bē wizīnēnd kē dēwān hēnd čēgāmizēw kū dēw tis ī frārōn nē kunēnd kē =iz awēšān frēft awēšān =iz kē dēwān frēft ēstēnd ā =iz nē kunēnd ō pursišn abar mad hēnd kū =šān abāg dēwān hampursīd bawēd kē [=šān] dōšīd ān ī wattar pad menišn ēdōn abā...
s819,2,medium,0.111,0.0711,3,"abar, dēwān, šān",26.7: ud pādifrāh ī abar ruwān az ān māništ az dēwān widār mānāgīh ān anāgīh ō dōšox ī šān kamālag Ahrimen ī purr-marg,caby_ch12_st9: bē az dēwān ī wadagān awehīhān ī adādestānān ī wattardahāgān ā =šān sālārīh gōwam kū pad sālārīh nē abāyēnd dāštan kē az astān drōzantom hēnd kē az astān pūdagtom anabedāntom X az astān awehtom hād harw dō ast astīh ud nēstīh u =šān astīh ēd ō nūn hēnd u =šān nēstīh ēd kū pas...
s2766-s2770,3,low,0.0958,0.0508,3,"abar, anāgīh, šān",26.7: ud pādifrāh ī abar ruwān az ān māništ az dēwān widār mānāgīh ān anāgīh ō dōšox ī šān kamālag Ahrimen ī purr-marg,caby_ch53_st8: frāzgōwišnīh ī hāzišn ī zardušt kē anāyišn hēnd kū bē ō ēn dēn nē āyēnd ud dušwarzīdār hēnd kū tis ī abārōn kunēnd frēbišn hēnd ud zanišn hēnd pad harwisp zamān xrōsišn hēnd abar ān ī huxwadāy ō ōy ǰeh ud mar guxrūnīh rēš ud armēštīh akārīh ud pad āyišn dahišn ka ō mānišn ud w...
s3426-s3428,4,low,0.0889,0.0672,2,"abar, šān",26.7: ud pādifrāh ī abar ruwān az ān māništ az dēwān widār mānāgīh ān anāgīh ō dōšox ī šān kamālag Ahrimen ī purr-marg,caby_ch69_st1: ōy kē [az] ahlāyīhabāgīh ī pahlom kū abāgīh ī az ahlāyīh rāy yazdān ān meh ī man yazišn abar ō ōy āgāh ohrmazd kē būd hēnd ud kē =iz bawēnd awēšān yazam pad ān ī xwēš nām u =šān abar rasam ō ayārīh kū =šān hamāg ayārōmandīh ōh kunam ud ōh daham wahman pahlom ēwāmrūdīg gōwišn
s2255-s2259,5,low,0.0858,0.0375,3,"abar, ruwān, šān",26.7: ud pādifrāh ī abar ruwān az ān māništ az dēwān widār mānāgīh ān anāgīh ō dōšox ī šān kamālag Ahrimen ī purr-marg,"caby_ch45_st2: frāzgōwišnīh zardušt andarggōwišnīh ohrmazd ēdōn frāz gōwam andar axwān mēnōyīgīh ī fradom gāhānīgīh kē pad awēšān abzōnīgīh ā =š ēdōn guft ō ōy ī gannā kū nē amāh menišn man nē ān menam ī tō menē , čē man ān ī frārōn menam ud tō ān ī abārōn menē , ud nē hammōxtišn čē man tis..."
s3090,1,medium,0.1249,0.1059,2,"srōš, yazišn",27.1: 27-om [K35_126v] pursišn ān ī pursēd kū sidōš čim čē ast ka andar 3 rōz yazišn ud drōn ī Srōš framāyēnd kerdan ∵,caby_ch60_st7: wānīhād az ēn mān pad srōš asruštīh ud pad āštīh anāštīh ud pad rādīh arādīh ud pad ērmenišnīh tarmenišnīh ud pad ān ī rāst gōwišn ān ī drō gōwišn ud pad ahlāyīh druz kē =iz andar ān [ān] ī amahraspandān yazišn ud niyāyišn ī srōš pad dastwar ān ī weh yazišn ud niyāyišn ī narīh...
s2336-s2340,1,low,0.0805,0.0807,2,"pānagīh, ātaxš",27.2: pāsox ēd kū gyān ud ruwān ka az mēnōy-waxšīh bē ō gētīy-paymōgīh rasēd [TD4_220] u-š dard ud wizāyišn abar widurd estēd nāzuktar u-š parwarišn zāyišn paristišn [T60_30v] pānagīh pāsbānīh abāyišnīgtar [D7_151] ud a-wizīrišnīgtar ud pēm-xwarišnīh ud ātaxš <wwywnd> ud hamēšag-pāk...,caby_ch46_st7: tāštgōwišnīh frašn ī zardušt kē ō man ohrmazd ud manīgān hāwištān ī man pānag dād ka man ān druwand ahreman pad dārišn dārēd kēn kū =m kēn abāg dārēd ā =m pānagīh kē kunēd any az [tō] ātaxš ud wahman čē ašmāh rāy dānam kū =m pānagīh kunēd kē pad awēšān kunišn ahlāyīh parwaram...
s3090,1,medium,0.1062,0.1178,2,"srōš, yazišn",27.6: ud az ān čiyōn yazišn pāsbānīh ud pānagīh ī gētīyān az dādār framān Srōš-ahlīy xwēš-kārīh ud āmārgar-iz ī pad sidōš ud ēk Srōš-ahlīy ān ruwān 3 rōz ud šab mēnōy- [T60_31r] -waxš gāh [K35_127r] andar gētīy ud pānagīhēd [D7_152] pad ān ī Srōš pādārīh ud āmārīhēd pad-iz ān ī Srōš...,caby_ch60_st7: wānīhād az ēn mān pad srōš asruštīh ud pad āštīh anāštīh ud pad rādīh arādīh ud pad ērmenišnīh tarmenišnīh ud pad ān ī rāst gōwišn ān ī drō gōwišn ud pad ahlāyīh druz kē =iz andar ān [ān] ī amahraspandān yazišn ud niyāyišn ī srōš pad dastwar ān ī weh yazišn ud niyāyišn ī narīh...
s3090,3,low,0.0979,0.0861,2,"srōš, yazišn",28.1: 28om pursišn ān ī pursēd kū yazišn ī Srōš anīy šnūman ī did abāg kerdan nē pādixšāy čē čim rāy ka-š ǰudāgīhā yazēnd ∵,caby_ch60_st7: wānīhād az ēn mān pad srōš asruštīh ud pad āštīh anāštīh ud pad rādīh arādīh ud pad ērmenišnīh tarmenišnīh ud pad ān ī rāst gōwišn ān ī drō gōwišn ud pad ahlāyīh druz kē =iz andar ān [ān] ī amahraspandān yazišn ud niyāyišn ī srōš pad dastwar ān ī weh yazišn ud niyāyišn ī narīh...
s1531-s1535,5,medium,0.1258,0.0725,2,"ohrmazd, ēwar",30.6: bē pad ān [T60_33r] handēmānīh Ohrmazd ān ruwān dīd ēwar čē Ohrmazd wispān wēnēd,caby_ch31_st1: tāwrad hād bun frāzgōwišnīh ān harw dō wābarīgānīh ī ašmāh ōšmurom abestāg ud zand ud ōy =iz ī aniyōxšīdār ahlomōγ pad gōwišn hammōzam andar warōmandīh =ēw se bār ōh gōwišn ud ka ēwar dānēd kū nē hammōxtēd ēwbār awēšān kē pad wābarīgānīh ī druz ān ī ahlāyīh gēhān bē murnǰēnēnd...
s1509-s1512,1,medium,0.1055,0.08,2,"druz, ohrmazd",30.7: ud ān-iz †Druz ruwān čand-iš ī az ān ī Ohrmazd andar mēnōyīg sōhišn abyōzīhēd pad nimūdan ī az ān ī Ohrmazd urwāhmenīhēd az-iš,caby_ch30_st8: ēdōn =iz pad ān dahišn pad tan ī pasēn ō awēšān kēnīgān wināhgārān rasēd kēn kū =šān pādufrāh kunēnd ēdōn ohrmazd kē ō tō xwadāyīh ā =š wahman bē dahēd mizd hōm ud urwarām andar hāwan abganišn pad awēšān hammōxtišn ī ohrmazd pad dēn ī ohrmazd ka ō ōy kē ahlāyīh kū pad tis ī fr...
s3571-s3573,2,medium,0.1045,0.0787,2,"druz, ohrmazd",30.7: ud ān-iz †Druz ruwān čand-iš ī az ān ī Ohrmazd andar mēnōyīg sōhišn abyōzīhēd pad nimūdan ī az ān ī Ohrmazd urwāhmenīhēd az-iš,caby_ch72_st5: kē druz az ān pad bēnayišnīh nayēd az ēn gēhān druz ī sāstārīh pad nayišn nayēnd sūdimand druz čiyōn pad nayišn nayēnd sūdimand druz čiyōn ēn zanēnd X pad pāduxšāyīh ōy ī apāduxšāy az harwisp kišwar abar kē haft barsom ō dast ī rāspīg dahišn pad hamēstārīh ud bēbarišnīh ī harw...
s3108,3,medium,0.1032,0.077,2,"druz, ohrmazd",30.7: ud ān-iz †Druz ruwān čand-iš ī az ān ī Ohrmazd andar mēnōyīg sōhišn abyōzīhēd pad nimūdan ī az ān ī Ohrmazd urwāhmenīhēd az-iš,caby_ch61_st5: kē druz az ān pad bēnayišnīh nayēd az ēn gēhān druz ī sāstārīh pad nayišn nayēnd sūdōmand druz čiyōn pad nayišn nayēnd sūdōmand druz čiyōn ī pad ēn hīm pad ēn dēn zanēnd pad pāduxšāyīh ōy ī apāduxšā az harwisp kišwar abar kē haft pad bēhamēstārīh ud bēbarišnīh ī harwisp ī ān ī...
s1739-s1742,4,medium,0.1016,0.0748,2,"nimūdan, ohrmazd",30.7: ud ān-iz †Druz ruwān čand-iš ī az ān ī Ohrmazd andar mēnōyīg sōhišn abyōzīhēd pad nimūdan ī az ān ī Ohrmazd urwāhmenīhēd az-iš,caby_ch33_st7: yānpassoxgōwišnīh ohrmazd ān man pad āyišn ka bē ō ašmāh āyam dahišn pahlom pad dahān ohrmazd nigēzišn kū ān ī pad dahān abāyēd guftan ā =m be gōwēd ud ān ī pad dast abāyēd nimūdan ā =m be nimāyēd ašawahišt wahman kē srūd ēstēd pad parrōnmaγīh pad abēzag wehīh āškārag amāh and...
s1439-s1441,5,low,0.0907,0.0603,2,"ohrmazd, ruwān",30.7: ud ān-iz †Druz ruwān čand-iš ī az ān ī Ohrmazd andar mēnōyīg sōhišn abyōzīhēd pad nimūdan ī az ān ī Ohrmazd urwāhmenīhēd az-iš,caby_ch29_st5: ēdōn az ašmāh amahraspandān pad ustānaxwīh menišnīg ud ustāndastīh tuxšāgīhā franāmam ō ohrmazd ān kū az amahraspandān ō tis ohrmazd wēš franāmam ud tis ī ohrmazd wēš kunam kū ān man ruwān gāw ī az abāg bawād kū =m ruwān mizd dahānd ud ō ohrmazd ān ī pad gumānī hampursēnd kū ā...
s2553-s2556,3,medium,0.1198,0.1181,3,"druwand, padīrag, xwarišn",31.1: 31om pursišn ān ī pursēd kū a ān ī druwand ka ō dōšox šawēd čiyōn šawēd b čē ēwēnag šawēd c u-š kē ō padīrag āyēd [D7_162] d u-š kē nayēd ō dōšox e u-š az dōšoxīgān kas ō padīrag āyēd ayāb čiyōn bawēd f u-š pādifrāh ī [T60_35v next 36.14/T60_35v cont.] wināh ī-š kerd pad ēw-bā...,"caby_ch49_st11: frāzgōwišnīh zardušt passoxgōwišnīh ohrmazd ēdōn ān ī dušxwadāy ī duškunišn ī dušgōwišn ī duždēn ī dušmenišn ī druwand ā =š ān ī wattar xwarišn padīrag ruwān padīrag rawānd , vīšāat̰cā dahēnd u =š andar druzōdomān andar dušox āškārag ast ēstišn ud āškārag dēwān ud druzān"
s2332-s2335,4,medium,0.1104,0.1056,4,"druwand, kunēd, tā, āyēd",31.1: 31om pursišn ān ī pursēd kū a ān ī druwand ka ō dōšox šawēd čiyōn šawēd b čē ēwēnag šawēd c u-š kē ō padīrag āyēd [D7_162] d u-š kē nayēd ō dōšox e u-š az dōšoxīgān kas ō padīrag āyēd ayāb čiyōn bawēd f u-š pādifrāh ī [T60_35v next 36.14/T60_35v cont.] wināh ī-š kerd pad ēw-bā...,caby_ch46_st6: frāzgōwišnīh zardušt passoxgōwišnīh ohrmazd kē ān ī mad ēstēd nē ō mard kē pad xwāyišn āyēd kū pad kār ud kirbag āyēd dahēd druz ī ān dām kū dāmīh ī druz kunēd ā =š āsamīhēd kū =š bīm wimāyīhēd u =š zanīhēd čē ān ī druwand kē ō druwandān pahlomīh ud ān ahlaw kē ō ahlawān franā...
s1617-s1622,1,medium,0.0887,0.0753,4,"frēbišn, zamān, āyēd, ōy",31.5: u-š ham-handāzag zōr nērōg ī-šān az ān ī ōy wināh ǰād ān tā bē ō Fraškerd zamān an-āsānīhā dardēnēnd ud bēšišnēnēnd ud pad ān ī Wizarš nīdārīh a-kāmagīhā āyēd bē ō dōšox handēmānīhēd ō Druz ud Gannāy [K35_130v] ud pašēmānīhēd az frēbišn ī waranīgīhā- -kāmagīh ud az dōšox abāz-...,caby_ch31_st20: passoxgōwišnīh frāzgōwišnīh passoxgōwišnīh kē āyēd ō ahlawān pad frēbišn ōy az pasīh šēwan kū =š pad ruwān šēwan bawēd u =š dagr āyišn andar tom kū =š dagr zamān ānōh abāyēd būd ud dušxwarišn kū =š vīšācā dahēnd ud anāgrawišnīh gōwēd kū =š anāg mad ēstēd ō tomaxwān ašmāh kē dr...
s2766-s2770,2,medium,0.0886,0.0752,4,"frēbišn, zamān, ōy, škeft",31.5: u-š ham-handāzag zōr nērōg ī-šān az ān ī ōy wināh ǰād ān tā bē ō Fraškerd zamān an-āsānīhā dardēnēnd ud bēšišnēnēnd ud pad ān ī Wizarš nīdārīh a-kāmagīhā āyēd bē ō dōšox handēmānīhēd ō Druz ud Gannāy [K35_130v] ud pašēmānīhēd az frēbišn ī waranīgīhā- -kāmagīh ud az dōšox abāz-...,caby_ch53_st8: frāzgōwišnīh ī hāzišn ī zardušt kē anāyišn hēnd kū bē ō ēn dēn nē āyēnd ud dušwarzīdār hēnd kū tis ī abārōn kunēnd frēbišn hēnd ud zanišn hēnd pad harwisp zamān xrōsišn hēnd abar ān ī huxwadāy ō ōy ǰeh ud mar guxrūnīh rēš ud armēštīh akārīh ud pad āyišn dahišn ka ō mānišn ud w...
s3260-s3262,3,low,0.085,0.0528,2,"tā, zōr",31.5: u-š ham-handāzag zōr nērōg ī-šān az ān ī ōy wināh ǰād ān tā bē ō Fraškerd zamān an-āsānīhā dardēnēnd ud bēšišnēnēnd ud pad ān ī Wizarš nīdārīh a-kāmagīhā āyēd bē ō dōšox handēmānīhēd ō Druz ud Gannāy [K35_130v] ud pašēmānīhēd az frēbišn ī waranīgīhā- -kāmagīh ud az dōšox abāz-...,caby_ch66_st1: ahlāyīh ābādīh pahlom ast ābādīh =ēw ahlāyīh weh tā sar srišāmrūdīg gōwišn zōr be nigerišn
s2471-s2474,4,low,0.0807,0.0706,3,"nērōg, ārzōg, ōy",31.5: u-š ham-handāzag zōr nērōg ī-šān az ān ī ōy wināh ǰād ān tā bē ō Fraškerd zamān an-āsānīhā dardēnēnd ud bēšišnēnēnd ud pad ān ī Wizarš nīdārīh a-kāmagīhā āyēd bē ō dōšox handēmānīhēd ō Druz ud Gannāy [K35_130v] ud pašēmānīhēd az frēbišn ī waranīgīhā- -kāmagīh ud az dōšox abāz-...,caby_ch48_st6: frāzgōwišnīh zardušt framāyišn padīragwisānišnīh čē ān amāh xwārīh az gōspandān ud ān amāh tuhišn nērōg dahēd tuhišn ān ī wahman ārzōg ēdōn pad ān ī ōy tarsagāhīh ka gāw ēkdād tan bē dād ohrmazd urwar waxšēnīd kū =š bē abzāyēnīd ohrmazd andar axwān zahag ī fradom rāy daxšag wa...
s2332-s2335,5,low,0.0775,0.0711,3,"druz, tā, āyēd",31.5: u-š ham-handāzag zōr nērōg ī-šān az ān ī ōy wināh ǰād ān tā bē ō Fraškerd zamān an-āsānīhā dardēnēnd ud bēšišnēnēnd ud pad ān ī Wizarš nīdārīh a-kāmagīhā āyēd bē ō dōšox handēmānīhēd ō Druz ud Gannāy [K35_130v] ud pašēmānīhēd az frēbišn ī waranīgīhā- -kāmagīh ud az dōšox abāz-...,caby_ch46_st6: frāzgōwišnīh zardušt passoxgōwišnīh ohrmazd kē ān ī mad ēstēd nē ō mard kē pad xwāyišn āyēd kū pad kār ud kirbag āyēd dahēd druz ī ān dām kū dāmīh ī druz kunēd ā =š āsamīhēd kū =š bīm wimāyīhēd u =š zanīhēd čē ān ī druwand kē ō druwandān pahlomīh ud ān ahlaw kē ō ahlawān franā...
s2756-s2761,3,medium,0.1182,0.0576,3,"nē, pēš, wad",31.8: ud wad- -gyāgīh ī andar dōšox nē sāmānīhēd pēš az rist-āxēz tā Fraškerd zamānag andar dōšox,caby_ch53_st6: frāzgōwišnīh ī zardušt frāzgōwišnīh zardušt ēdōn čiyōn pad ān harw dō tis ī gētī ud mēnōy āškārag mard ud zan pad wehīh ēdōn ǰeh ud mar pad wattarīh druz az ān bahr kū =š nīrmad az ōy kē =š hamēšag pāsbānīh pad frāydahišnīh kū =š xwēš tan ēdōn tuwān dāštan ka pad abārōnīh hanb...
s1488-s1491,1,medium,0.1224,0.1105,3,"mēnōy, wattar, wināh",31.9: u-š wināh frāzag ān pādifrāh paywastag u-š ān pādifrāh az Druz mēnōy ī xwēš wināh ī pad ān ēwēnag ud handāzag abar rasēd ī-š āzārīd ud bēšīd ud ān ī wattar yašt ud stōd paristīd,caby_ch30_st3: frāzgōwišnīh ohrmazd ēdōn ān harw dō mēnōy ohrmazd ud gannāg ā =šān fradom ān ī ǰomā xwad srūd kū =šān wināh ud kirbag xwad be guft menišn ud gōwišn ud kunišn ān harw dō kē weh ud kē =iz wattar ēk ān weh menīd ud guft ud kird ud ēk ān ī wattar az awēšān ōy ī hudānāg ohrmazd rā...
s9-s12,2,medium,0.1077,0.077,2,"xwēš, yašt",31.9: u-š wināh frāzag ān pādifrāh paywastag u-š ān pādifrāh az Druz mēnōy ī xwēš wināh ī pad ān ēwēnag ud handāzag abar rasēd ī-š āzārīd ud bēšīd ud ān ī wattar yašt ud stōd paristīd,PY 0.3: pad mān ī ātaxšān pad mān ī wehān agar ham zōt xwēš yašt sāxtag bawēd agar rāspīg yašt sāxtag bawēd
s3327-s3330,3,medium,0.1059,0.1062,2,"abar, bēšīd",31.9: u-š wināh frāzag ān pādifrāh paywastag u-š ān pādifrāh az Druz mēnōy ī xwēš wināh ī pad ān ēwēnag ud handāzag abar rasēd ī-š āzārīd ud bēšīd ud ān ī wattar yašt ud stōd paristīd,"caby_ch68_st1: aētat̰ tē , zōhr čahār angust az āb ul dārišn barsom čahār angust az zōhr ul dārišn ēdōn tō ahurāne ahurahe ā =t pad ān ayārīh daham ka =m tō bēšīd hād harw kas =ēw bēšīd ēstēd kū =š ēn saxwan dastwarīhā guft ēd zōhr abar ō tō rasād čiyōn guft ō tō ahurāne ahurahe ī hōmōmand ī..."
s2845,4,low,0.0966,0.0938,2,"abar, yašt",31.9: u-š wināh frāzag ān pādifrāh paywastag u-š ān pādifrāh az Druz mēnōy ī xwēš wināh ī pad ān ēwēnag ud handāzag abar rasēd ī-š āzārīd ud bēšīd ud ān ī wattar yašt ud stōd paristīd,caby_ch57_st4: srōšahlī ī hurust ī pērōzgar ī frāydādār ī gēhān ī ahlaw ī ahlāyīh rad yazam kē =š fradom andar ohrmazd dāmān pad frāzwistarišnīh ī abar barsom ā =š yašt ohrmazd u =š yašt amahraspand u =š yašt pānag ī brīngar mihr kē harwistān brēhēnīdār dāmān nēkīh
s3571-s3573,5,low,0.0862,0.0623,3,"abar, druz, xwēš",31.9: u-š wināh frāzag ān pādifrāh paywastag u-š ān pādifrāh az Druz mēnōy ī xwēš wināh ī pad ān ēwēnag ud handāzag abar rasēd ī-š āzārīd ud bēšīd ud ān ī wattar yašt ud stōd paristīd,caby_ch72_st5: kē druz az ān pad bēnayišnīh nayēd az ēn gēhān druz ī sāstārīh pad nayišn nayēnd sūdimand druz čiyōn pad nayišn nayēnd sūdimand druz čiyōn ēn zanēnd X pad pāduxšāyīh ōy ī apāduxšāy az harwisp kišwar abar kē haft barsom ō dast ī rāspīg dahišn pad hamēstārīh ud bēbarišnīh ī harw...
s2653-s2654,1,medium,0.1017,0.1079,2,"druwandān, āhen",31.10a: pad Fraškerd zamānag ka wānīhēd Druz ud ān ruwānān ī druwandān 3 rōz andar āhen ī widāxtag widārēnd ud hamāg druzān duš-menišnān ī-šān az ān wināh ud pad burrišn ud škennišn ī ān āmēxtagīh ī [D7_165] ān ī druwandān ruwān [TD4_232] wināh passazagīhā [K35_132r] dardīhēnd ud aweš...,caby_ch51_st9: kē šnāxtārīh ō pahikārdārān dahēd kū bōxt ud ēraxt paydāg kunēd X ēd ī tō ātaxš ī suxar ohrmazd āhen ī widāxt abar pad harw dō axwān dazišn dahēd ān passāxt ī pad tan ī pasēn rēšēnēd druwandān ud sūdēnēd ahlawān
s1488-s1491,2,low,0.0673,0.0564,3,"guft, wināh, ēk",31.10a: pad Fraškerd zamānag ka wānīhēd Druz ud ān ruwānān ī druwandān 3 rōz andar āhen ī widāxtag widārēnd ud hamāg druzān duš-menišnān ī-šān az ān wināh ud pad burrišn ud škennišn ī ān āmēxtagīh ī [D7_165] ān ī druwandān ruwān [TD4_232] wināh passazagīhā [K35_132r] dardīhēnd ud aweš...,caby_ch30_st3: frāzgōwišnīh ohrmazd ēdōn ān harw dō mēnōy ohrmazd ud gannāg ā =šān fradom ān ī ǰomā xwad srūd kū =šān wināh ud kirbag xwad be guft menišn ud gōwišn ud kunišn ān harw dō kē weh ud kē =iz wattar ēk ān weh menīd ud guft ud kird ud ēk ān ī wattar az awēšān ōy ī hudānāg ohrmazd rā...
s1192,3,low,0.0583,0.0407,2,"guft, ēk",31.10a: pad Fraškerd zamānag ka wānīhēd Druz ud ān ruwānān ī druwandān 3 rōz andar āhen ī widāxtag widārēnd ud hamāg druzān duš-menišnān ī-šān az ān wināh ud pad burrišn ud škennišn ī ān āmēxtagīh ī [D7_165] ān ī druwandān ruwān [TD4_232] wināh passazagīhā [K35_132r] dardīhēnd ud aweš...,caby_ch24_st9: awēšān niwēyēnam ī =m guft amahraspandān ī huxwadāyān ī hudahāgān ī hamēzīndagān ī [hamēsūdān] ēk =ēw kū be nē mīrēnd ud ēk =ēw kū ōzad nē šāyēnd kē pad wahman mānēnd kū =šān mehmānīh ān gyāg kū wahman ud kē =iz wahman
s1101-s1103,4,low,0.0567,0.0363,2,"bawēnd, guft",31.10a: pad Fraškerd zamānag ka wānīhēd Druz ud ān ruwānān ī druwandān 3 rōz andar āhen ī widāxtag widārēnd ud hamāg druzān duš-menišnān ī-šān az ān wināh ud pad burrišn ud škennišn ī ān āmēxtagīh ī [D7_165] ān ī druwandān ruwān [TD4_232] wināh passazagīhā [K35_132r] dardīhēnd ud aweš...,caby_ch21_st4: čē pad ān saxwangōwišnīh passox guft čē ān tis abar guft nēkrawišnīh passox guft nēkrawišnīh ī harwispīn ahlawān kē =iz hēnd ud kē =iz būd hēnd ud kē =iz bawēnd waxšēnīdār ān mard pad waxšēnīdārīh passox guft mizd pad waxšēnīdārīh ohrmazd passox guft ān waxšēnīdār ahlaw gōwam...
s269,5,low,0.0552,0.0386,2,"guft, ēk",31.10a: pad Fraškerd zamānag ka wānīhēd Druz ud ān ruwānān ī druwandān 3 rōz andar āhen ī widāxtag widārēnd ud hamāg druzān duš-menišnān ī-šān az ān wināh ud pad burrišn ud škennišn ī ān āmēxtagīh ī [D7_165] ān ī druwandān ruwān [TD4_232] wināh passazagīhā [K35_132r] dardīhēnd ud aweš...,caby_ch4_st4: awēšān niwēyēnam ī =m guft amahraspandān huxwadāyān ī hudahāgān hamēzīwandagān ī hamēsūdān ēk =ēw kū be nē mīrēnd ud ēk =ēw kū ōzad nē šāyēnd kē pad ān ī wahman mānēnd kū =šān mehmānīh ān gyāg kū wahman kē =iz wahman
s2756-s2761,5,medium,0.1509,0.0583,3,"gyāg, ruwān, tan",32.2: pāsox ēd kū gyāg ī druwandān ruwān pas az frōd-mīrišnīh ī tan pad 3 wimand,caby_ch53_st6: frāzgōwišnīh ī zardušt frāzgōwišnīh zardušt ēdōn čiyōn pad ān harw dō tis ī gētī ud mēnōy āškārag mard ud zan pad wehīh ēdōn ǰeh ud mar pad wattarīh druz az ān bahr kū =š nīrmad az ōy kē =š hamēšag pāsbānīh pad frāydahišnīh kū =š xwēš tan ēdōn tuwān dāštan ka pad abārōnīh hanb...
s2877-s2879,1,medium,0.1291,0.1055,3,"dēwān, hamāg, tom",32.5: ēk druzaskān xwānīhēd ast pad bun ī ox ī tom kū dēwān kamālāg dwārēd ānōh hamāg tār ud hamāg anāgīh ābād mān,caby_ch57_st25: kē nē pas xwaš xuft pēš tā mēnōyān dām dād ēbār tā mēnōyān dām dād kē spennāgmēnōy ud kē =z gannāg sālār ī ahlāyīh gēhān kē hamāg rōz ud šab āyōzēd pad kōxšišn abāg māzenīgān dēwān ud ān nē pad tars frāz ānāmēd kū stōw nē bawēd az bīm bē ī dēwān frāz az ān bē čiyōn ān stōw nē...
